,work_year,experience_level,employment_type,salary,salary_currency,salary_in_usd,company_size,best_indication
331,2022,1,2,207000,10,207000,1,1.0
332,2022,1,2,153000,10,153000,1,1.0
333,2022,1,2,191475,10,191475,1,1.0
334,2022,1,2,141525,10,141525,1,0.0
335,2022,1,2,191475,10,191475,1,1.0
336,2022,1,2,141525,10,141525,1,0.0
337,2022,1,2,191475,10,191475,1,1.0
338,2022,1,2,141525,10,141525,1,0.0
339,2022,1,2,195700,10,195700,1,1.0
340,2022,1,2,130500,10,130500,1,0.0
341,2022,1,2,130000,10,130000,1,0.0
342,2022,1,2,84000,10,84000,1,0.0
343,2022,2,2,100000,10,100000,1,0.0
344,2022,2,2,60000,10,60000,1,0.0
345,2022,2,2,65000,30,80505,1,0.0
346,2022,2,2,55000,30,68120,1,0.0
347,2022,1,2,141300,10,141300,1,0.0
348,2022,1,2,102100,10,102100,1,0.0
349,2022,1,2,48000,20,50537,1,1.0
350,2022,1,2,35000,20,36850,1,1.0
351,2022,2,2,150000,10,150000,2,1.0
352,2022,2,2,83000,30,102799,1,0.0
353,2022,3,2,1800000,40,23090,1,0.0
354,2022,1,2,144000,10,144000,1,0.0
355,2022,1,2,113000,10,113000,1,0.0
356,2022,3,2,30000,20,31586,1,1.0
357,2022,1,2,195400,10,195400,2,1.0
358,2022,1,2,131300,10,131300,2,0.0
359,2022,1,2,195400,10,195400,2,1.0
360,2022,1,2,131300,10,131300,2,0.0
361,2022,1,2,195400,10,195400,2,1.0
362,2022,1,2,131300,10,131300,2,0.0
363,2022,1,2,190000,10,190000,1,1.0
364,2022,1,2,135000,10,135000,1,0.0
365,2022,1,2,135000,10,135000,1,0.0
366,2022,1,2,80000,10,80000,1,0.0
367,2022,3,2,633000,40,8120,1,0.0
368,2022,1,2,160000,10,160000,1,1.0
369,2022,1,2,85000,10,85000,1,0.0
370,2022,1,2,178800,10,178800,2,1.0
371,2022,1,2,132100,10,132100,2,0.0
372,2022,2,3,60000,10,60000,0,0.0
373,2022,1,2,60000,20,63172,0,1.0
374,2022,3,2,50000,10,50000,2,0.0
375,2022,1,2,140000,10,140000,1,0.0
376,2022,1,2,105000,10,105000,1,0.0
377,2022,2,2,65000,30,80505,1,0.0
378,2022,2,2,55000,30,68120,1,0.0
379,2022,1,2,190000,10,190000,1,1.0
380,2022,1,2,140000,10,140000,1,0.0
381,2022,2,2,100000,10,100000,1,0.0
382,2022,2,2,60000,10,60000,1,0.0
383,2022,1,2,180000,10,180000,2,1.0
384,2022,1,2,165000,10,165000,2,1.0
385,2022,1,2,108000,10,108000,2,0.0
